,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
25,74,卡梅罗-安东尼,开拓者,13.40,4.70-11.30,42.1%,1.90-4.70,40.9%,2.00-2.20,89%,69,24.50
26,74,马库斯-莫里斯,快船,13.40,4.80-10.20,47.3%,2.50-5.20,47.3%,1.30-1.60,82%,57,26.40
27,77,达尼罗-加里纳利,老鹰,13.30,4.00-9.30,43.4%,2.00-5.00,40.6%,3.20-3.40,92.5%,51,24.00
28,78,邓肯-罗宾逊,热火,13.10,4.40-10.00,43.9%,3.50-8.50,40.8%,0.90-1.00,82.7%,72,31.40
29,79,泰雷斯-哈利伯顿,国王,13.00,5.00-10.70,47.2%,2.10-5.10,40.9%,0.80-1.00,85.7%,58,30.10
30,79,谢克-米尔顿,76人,13.00,4.80-10.60,45%,1.10-3.20,35%,2.30-2.80,83%,63,23.20
31,81,PJ-华盛顿,黄蜂,12.90,4.70-10.70,44%,1.80-4.50,38.6%,1.70-2.30,74.5%,64,30.50
32,81,凯尔-库兹马,湖人,12.90,4.90-11.10,44.3%,2.00-5.60,36.1%,1.00-1.40,69.1%,68,28.70
33,83,凯尔登-约翰逊,马刺,12.80,4.90-10.20,47.9%,0.90-2.60,33.1%,2.10-2.80,74%,69,28.50
34,84,迈尔斯-布里奇斯,黄蜂,12.70,4.70-9.40,50.3%,1.80-4.40,40%,1.50-1.70,86.7%,66,29.30
35,84,威尔-巴顿,掘金,12.70,4.60-10.90,42.6%,1.80-4.60,38.1%,1.70-2.20,78.5%,56,31.00
36,86,杰伦-布伦森,独行侠,12.60,4.80-9.20,52.3%,1.20-2.90,40.5%,1.80-2.20,79.5%,68,25.00
37,87,塞思-库里,76人,12.50,4.50-9.70,46.7%,2.20-4.90,45%,1.20-1.40,89.6%,57,28.70
38,88,凯尔-安德森,灰熊,12.40,4.50-9.50,46.8%,1.40-3.80,36%,2.10-2.70,78.3%,69,27.30
39,89,布鲁克-洛佩斯,雄鹿,12.30,4.60-9.10,50.3%,1.40-4.00,33.8%,1.70-2.00,84.5%,70,27.20
40,90,萨迪克-贝,活塞,12.20,4.00-9.90,40.4%,2.50-6.60,38%,1.80-2.10,84.4%,70,27.30
41,90,埃里克-布莱索,鹈鹕,12.20,4.30-10.30,42.1%,1.70-5.00,34.1%,1.90-2.80,68.7%,71,29.70
42,92,约什-理查德森,独行侠,12.10,4.50-10.50,42.7%,1.50-4.50,33%,1.70-1.80,91.7%,59,30.30
43,92,赛迪斯-杨,公牛,12.10,5.40-9.70,55.9%,0.20-0.70,26.7%,1.00-1.70,62.8%,68,24.30
44,92,乔-英格尔斯,爵士,12.10,4.10-8.40,48.9%,2.70-6.10,45.1%,1.10-1.30,84.4%,67,27.90
45,95,乔丹-普尔,勇士,12.00,4.00-9.30,43.2%,1.90-5.40,35.1%,2.10-2.30,88.2%,51,19.40
46,96,凯文-赫尔特,老鹰,11.90,4.60-10.60,43.2%,2.00-5.60,36.3%,0.70-0.90,78.1%,69,30.80
47,97,戴维斯-贝尔坦斯,奇才,11.50,3.40-8.40,40.4%,3.00-7.50,39.5%,1.80-2.00,87%,57,25.70
48,98,伊曼纽尔-奎克利,尼克斯,11.40,3.60-9.10,39.5%,1.80-4.70,38.9%,2.40-2.70,89.1%,64,19.40
49,98,博比-波蒂斯,雄鹿,11.40,4.70-9.10,52.3%,1.10-2.40,47.1%,0.80-1.10,74%,66,20.80
50,98,鲁迪-盖伊,马刺,11.40,4.20-10.00,42%,1.70-4.40,38.1%,1.30-1.60,80.4%,63,21.60
1,101,杰肖恩-泰特,火箭,11.30,4.50-8.90,50.6%,0.90-2.80,30.8%,1.50-2.10,69.4%,70,29.20
2,102,纳兹-里德,森林狼,11.20,4.30-8.30,52.3%,0.90-2.50,35.1%,1.60-2.40,69.3%,70,19.20
3,102,朗尼-沃克,马刺,11.20,4.30-10.10,42%,1.70-4.70,35.5%,0.90-1.20,81.4%,60,25.40
4,102,埃内斯-坎特,开拓者,11.20,4.70-7.80,60.4%,0.00-0.10,25%,1.80-2.30,77.4%,72,24.40
5,105,杰夫-格林,篮网,11.00,3.80-7.80,49.2%,1.50-3.70,41.2%,1.80-2.40,77.6%,68,27.00
6,106,雷吉-布洛克,尼克斯,10.90,3.80-8.60,44.2%,2.50-6.10,41%,0.80-0.90,90.9%,65,30.00
7,106,德维恩-培根,魔术,10.90,4.10-10.10,40.2%,0.80-2.90,28.5%,2.00-2.40,82.4%,72,25.70
8,108,帕蒂-米尔斯,马刺,10.80,3.70-9.00,41.2%,2.40-6.30,37.5%,1.00-1.10,91%,68,24.80
9,109,雷吉-杰克逊,快船,10.70,3.90-8.70,45%,1.80-4.20,43.3%,1.00-1.20,81.7%,67,23.00
10,110,贾斯廷-霍勒迪,步行者,10.50,3.60-8.70,41.3%,2.40-6.30,38.2%,0.90-1.20,78.8%,72,30.30
11,111,梅森-普拉姆利,活塞,10.40,4.20-6.80,61.4%,0.00-0.10,0%,2.00-3.00,66.9%,56,26.80
12,111,唐特-迪温琴佐,雄鹿,10.40,3.80-9.10,42%,2.00-5.20,37.9%,0.80-1.10,71.8%,66,27.50
13,111,切迪-奥斯曼,骑士,10.40,3.70-9.90,37.4%,1.70-5.50,30.6%,1.30-1.60,80%,59,25.60
14,114,布兰登-克拉克,灰熊,10.30,4.30-8.40,51.7%,0.30-1.30,26%,1.30-1.90,69%,59,24.00
15,115,杰-克劳德,太阳,10.10,3.30-8.20,40.4%,2.50-6.30,38.9%,0.90-1.20,76%,60,27.50
16,115,泰奥-马勒东,雷霆,10.10,3.50-9.40,36.8%,1.60-4.80,33.5%,1.50-2.10,74.8%,65,27.40
17,115,埃尔弗里德-佩顿,尼克斯,10.10,4.30-9.90,43.2%,0.40-1.60,28.6%,1.20-1.70,68.2%,63,23.60
18,118,布林-福布斯,雄鹿,10.00,3.60-7.60,47.3%,2.20-4.90,45.2%,0.70-0.90,77%,70,19.30
19,119,多里安-芬尼-史密斯,独行侠,9.80,3.70-7.80,47.2%,2.00-5.00,39.4%,0.50-0.70,75.6%,60,32.00
20,120,肯塔维厄斯-考德威尔-波普,湖人,9.70,3.20-7.60,43.1%,1.80-4.40,41%,1.50-1.70,86.6%,67,28.40
21,121,艾萨克-奥科罗,骑士,9.60,3.50-8.30,42%,0.90-3.20,29%,1.70-2.30,72.6%,67,32.40
22,121,卡梅伦-约翰逊,太阳,9.60,3.40-8.10,42%,2.00-5.60,34.9%,0.80-1.00,84.7%,60,24.00
23,123,丹尼-格林,76人,9.50,3.20-7.90,41.2%,2.50-6.30,40.5%,0.40-0.60,77.5%,69,28.00
24,124,兰德里-沙梅特,篮网,9.30,3.00-7.50,40.8%,2.10-5.50,38.7%,1.10-1.30,84.6%,61,23.00
25,125,帕特里克-威廉姆斯,公牛,9.20,3.60-7.40,48.3%,0.80-1.90,39.1%,1.30-1.80,72.8%,71,27.90
26,125,德斯蒙德-贝恩,灰熊,9.20,3.40-7.30,46.9%,1.70-4.00,43.2%,0.60-0.70,81.6%,68,22.30
27,127,丹东尼-梅尔顿,灰熊,9.10,3.30-7.60,43.8%,1.70-4.10,41.2%,0.80-1.00,80.4%,52,20.10
28,127,富尔坎-科尔克马兹,76人,9.10,3.10-7.70,40.1%,1.80-4.90,37.5%,1.10-1.50,73.2%,55,19.30
29,129,保罗-米尔萨普,掘金,9.00,3.40-7.20,47.6%,0.90-2.50,34.3%,1.30-1.80,72.4%,56,20.80
30,129,塔伦-霍顿-塔克,湖人,9.00,3.50-7.50,45.8%,0.60-2.00,28.2%,1.50-2.00,77.5%,65,20.10
31,129,罗宾-洛佩斯,奇才,9.00,3.80-6.00,63.3%,0.10-0.20,27.8%,1.40-1.90,72.3%,71,19.10
32,129,伊维察-祖巴茨,快船,9.00,3.60-5.50,65.2%,0.00-0.10,25%,1.90-2.40,78.9%,72,22.30
33,133,布鲁斯-布朗,篮网,8.80,3.60-6.50,55.6%,0.30-0.90,28.8%,1.30-1.80,73.5%,65,22.30
34,134,以赛亚-罗比,雷霆,8.70,3.40-7.00,48.3%,0.50-1.80,29.4%,1.40-1.90,74.4%,61,23.40
35,134,劳尔-内托,奇才,8.70,3.30-7.00,46.8%,1.00-2.60,39%,1.20-1.30,88.2%,64,21.90
36,136,雅各布-珀尔特尔,马刺,8.60,3.80-6.20,61.6%,0.00-0.00,0%,0.90-1.80,50.8%,69,26.70
37,136,里基-卢比奥,森林狼,8.60,2.80-7.30,38.8%,1.00-3.20,30.8%,1.90-2.20,86.7%,68,26.10
38,136,TJ-麦康奈尔,步行者,8.60,4.00-7.10,55.9%,0.20-0.70,31.3%,0.50-0.70,68.8%,69,26.00
39,139,罗伯特-科温顿,开拓者,8.50,2.90-7.30,40.1%,1.90-5.10,37.9%,0.70-0.90,80.6%,70,32.00
40,140,卡梅伦-佩恩,太阳,8.40,3.20-6.60,48.4%,1.20-2.80,44%,0.80-0.90,89.3%,60,18.00
41,141,卢克-肯纳德,快船,8.30,3.10-6.60,47.6%,1.60-3.60,44.6%,0.40-0.50,83.9%,63,19.60
42,142,斯特林-布朗,火箭,8.20,2.90-6.60,44.8%,1.80-4.20,42.3%,0.50-0.60,80.6%,51,24.10
43,143,杰迈克尔-格林,掘金,8.10,3.00-6.40,46.3%,1.40-3.40,39.9%,0.80-1.00,80.7%,58,19.30
44,143,尼古拉斯-巴图姆,快船,8.10,2.90-6.20,46.4%,1.60-4.10,40.4%,0.70-0.90,82.8%,67,27.40
45,145,泰雷斯-马克西,76人,8.00,3.20-7.00,46.2%,0.50-1.70,30.1%,1.00-1.10,87.1%,61,15.30
46,145,罗伯特-威廉姆斯,凯尔特人,8.00,3.60-5.00,72.1%,0.00-0.00,0%,0.90-1.40,61.6%,52,18.90
47,145,肯里奇-威廉姆斯,雷霆,8.00,3.30-6.20,53.3%,0.80-1.80,44.4%,0.60-0.90,57.1%,66,21.60
